* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\20160818_Symcap_19.eds
* Experiment Run End Time = 2016-08-18 14:48:52 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP	NOISE	SPIKE	NOSIGNAL	CTFAIL
D3	958	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N	N
D4																		N	N	N	N	N	N	N
D5																		N	N	N	N	N	N	N
D6																		N	N	N	N	N	N	N
D7																		N	N	N	N	N	N	N
D8																		N	N	N	N	N	N	N
D9																		N	N	N	N	N	N	N
D10																		N	N	N	N	N	N	N
D11																		N	N	N	N	N	N	N
D12																		N	N	N	N	N	N	N
E1	951	C	UNKNOWN	VIC	NFQ-MGB	38.317	38.317					false	0.01	false	15	22		N	N	N	N	N	N	N
E1	951	D	UNKNOWN	FAM	NFQ-MGB	39.7425	39.7425					false	0.01	false	15	22		N	N	N	N	N	N	N
E2	955	C	UNKNOWN	VIC	NFQ-MGB	38.1993	38.1072	0.1304				false	0.01	false	15	22		N	N	N	N	N	N	N
E2	955	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N	N
E3	959	C	UNKNOWN	VIC	NFQ-MGB	36.3834	35.2118	1.6569				false	0.01	false	15	22		N	Y	N	N	N	N	N
E3	959	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
E4																		N	N	N	N	N	N	N
E5																		N	N	N	N	N	N	N
E6																		N	N	N	N	N	N	N
E7																		N	N	N	N	N	N	N
E8																		N	N	N	N	N	N	N
E9																		N	N	N	N	N	N	N
E10																		N	N	N	N	N	N	N
E11																		N	N	N	N	N	N	N
E12																		N	N	N	N	N	N	N
F1	952	C	UNKNOWN	VIC	NFQ-MGB	36.4103	36.0205	0.5513				false	0.01	false	15	22		N	Y	N	N	N	N	N
F1	952	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
F2	955	C	UNKNOWN	VIC	NFQ-MGB	38.015	38.1072	0.1304				false	0.01	false	15	22		N	N	N	N	N	N	N
F2	955	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N	N	N	N	N	N
F3	959	C	UNKNOWN	VIC	NFQ-MGB	34.0402	35.2118	1.6569				false	0.01	false	15	22		N	Y	N	N	N	N	N
F3	959	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
F4																		N	N	N	N	N	N	N
F5																		N	N	N	N	N	N	N
F6																		N	N	N	N	N	N	N
F7																		N	N	N	N	N	N	N
F8																		N	N	N	N	N	N	N
F9																		N	N	N	N	N	N	N
F10																		N	N	N	N	N	N	N
F11																		N	N	N	N	N	N	N
F12																		N	N	N	N	N	N	N
G1	952	C	UNKNOWN	VIC	NFQ-MGB	35.6307	36.0205	0.5513				false	0.01	false	15	22		N	Y	N	N	N	N	N
G1	952	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
G2	956	C	UNKNOWN	VIC	NFQ-MGB	38.2201	38.9437	1.0234				false	0.01	false	15	22		N	Y	N	N	N	N	N
G2	956	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
G3																		N	N	N	N	N	N	N
G4																		N	N	N	N	N	N	N
G5																		N	N	N	N	N	N	N
G6																		N	N	N	N	N	N	N
G7																		N	N	N	N	N	N	N
G8																		N	N	N	N	N	N	N
G9																		N	N	N	N	N	N	N
G10																		N	N	N	N	N	N	N
G11																		N	N	N	N	N	N	N
G12																		N	N	N	N	N	N	N
H1																		N	N	N	N	N	N	N
H2	956	C	UNKNOWN	VIC	NFQ-MGB	39.6673	38.9437	1.0234				false	0.01	false	15	22		N	Y	N	N	N	N	N
H2	956	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y	N	N	N	N	N
H3																		N	N	N	N	N	N	N
H4																		N	N	N	N	N	N	N
H5																		N	N	N	N	N	N	N
H6																		N	N	N	N	N	N	N
H7																		N	N	N	N	N	N	N
H8																		N	N	N	N	N	N	N
H9																		N	N	N	N	N	N	N
H10																		N	N	N	N	N	N	N
H11																		N	N	N	N	N	N	N
H12																		N	N	N	N	N	N	N
