* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = H:\20160801_McapSpawn_Adults.eds
* Experiment Run End Time = 2016-08-01 13:17:36 PM HST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
D11	745	D	UNKNOWN	FAM	NFQ-MGB	28.4775	28.4193	0.0823				false	0.01	false	15	22		Y
D12	PCT	C	UNKNOWN	VIC	NFQ-MGB	30.7189	31.196	0.6746				false	0.01	false	15	22		Y
D12	PCT	D	UNKNOWN	FAM	NFQ-MGB	30.9954	30.4984	0.7028				false	0.01	false	15	22		Y
E1																		N
E2																		N
E3																		N
E4																		N
E5																		N
E6																		N
E7																		N
E8																		N
E9	738	C	UNKNOWN	VIC	NFQ-MGB	28.6474	28.3105	0.4765				false	0.01	false	15	22		N
E9	738	D	UNKNOWN	FAM	NFQ-MGB	26.3174	26.06	0.364				false	0.01	false	15	22		N
E10	742	C	UNKNOWN	VIC	NFQ-MGB	27.8013	28.1101	0.4366				false	0.01	false	15	22		N
E10	742	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
E11	746	C	UNKNOWN	VIC	NFQ-MGB	30.6471	30.1733	0.6701				false	0.01	false	15	22		Y
E11	746	D	UNKNOWN	FAM	NFQ-MGB	27.1211	26.6938	0.6043				false	0.01	false	15	22		Y
E12	PCT	C	UNKNOWN	VIC	NFQ-MGB	31.673	31.196	0.6746				false	0.01	false	15	22		Y
E12	PCT	D	UNKNOWN	FAM	NFQ-MGB	30.0015	30.4984	0.7028				false	0.01	false	15	22		Y
F1																		N
F2																		N
F3																		N
F4																		N
F5																		N
F6																		N
F7																		N
F8																		N
F9	738	C	UNKNOWN	VIC	NFQ-MGB	27.9736	28.3105	0.4765				false	0.01	false	15	22		N
F9	738	D	UNKNOWN	FAM	NFQ-MGB	25.8026	26.06	0.364				false	0.01	false	15	22		N
F10	742	C	UNKNOWN	VIC	NFQ-MGB	28.4188	28.1101	0.4366				false	0.01	false	15	22		N
F10	742	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
F11	746	C	UNKNOWN	VIC	NFQ-MGB	29.6994	30.1733	0.6701				false	0.01	false	15	22		Y
F11	746	D	UNKNOWN	FAM	NFQ-MGB	26.2665	26.6938	0.6043				false	0.01	false	15	22		Y
F12	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
F12	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
G1																		N
G2																		N
G3																		N
G4																		N
G5																		N
G6																		N
G7																		N
G8																		N
G9	739	C	UNKNOWN	VIC	NFQ-MGB	30.194	30.0638	0.184				false	0.01	false	15	22		N
G9	739	D	UNKNOWN	FAM	NFQ-MGB	25.9448	26.1085	0.2315				false	0.01	false	15	22		N
G10	743	C	UNKNOWN	VIC	NFQ-MGB	26.5299	27.0565	0.7447				false	0.01	false	15	22		Y
G10	743	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
G11	747	C	UNKNOWN	VIC	NFQ-MGB	26.8815	26.9122	0.0435				false	0.01	false	15	22		N
G11	747	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.2543					false	0.01	false	15	22		N
G12		C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
G12		D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N
H1																		N
H2																		N
H3																		N
H4																		N
H5																		N
H6																		N
H7																		N
H8																		N
H9	739	C	UNKNOWN	VIC	NFQ-MGB	29.9337	30.0638	0.184				false	0.01	false	15	22		N
H9	739	D	UNKNOWN	FAM	NFQ-MGB	26.2722	26.1085	0.2315				false	0.01	false	15	22		N
H10	743	C	UNKNOWN	VIC	NFQ-MGB	27.5831	27.0565	0.7447				false	0.01	false	15	22		Y
H10	743	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y
H11	747	C	UNKNOWN	VIC	NFQ-MGB	26.9429	26.9122	0.0435				false	0.01	false	15	22		N
H11	747	D	UNKNOWN	FAM	NFQ-MGB	37.2543	37.2543					false	0.01	false	15	22		N
H12																		N
